table_name,object_type,table_description,column_name,ordinal_position,data_type,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",occurred_at,11,timestamp without time zone,f,,When the move happened. With prisoner_number and to_location_key this places a named prisoner in a specific cell at a specific time.,PERSONAL,N,
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",recorded_by,12,character varying(64),f,,"The signed-in user who made the move, which is also who NOMIS records as having made it.",STAFF,N,
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",status,13,character varying(20),f,,"How far the movement got: PENDING, COMPLETED or CASE_NOTE_FAILED. Stored as text with no check constraint, so adding a state later is a code change rather than a migration. See reference-data.csv.",NONE,N,
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",movement_type,14,character varying(20),f,'CELL_MOVE'::character varying,"Which journey the user took: CELL_MOVE or CELL_SWAP. Recorded rather than inferred from the destination key, because once prison-api's dedicated swap endpoint is retired a swap becomes mechanically indistinguishable from an ordinary move to a CSWAP location, and this column is the only surviving record of which it was. See reference-data.csv.",NONE,N,
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",from_location_id,15,uuid,t,,"locations-inside-prison UUID for from_location_key at the time of the move. The durable identity: path hierarchies can be renamed, so the key may not identify the same cell across years of history. Best effort - resolution never blocks a move, so this is null on older rows and where locations-inside-prison could not be reached.",PERSONAL,N,
cell_movement,TABLE,"A prisoner being moved to a different cell, with the reason and the explanation. Replaces whereabouts-api's CELL_MOVE_REASON: the important difference is that the explanation is held here rather than only in a case note, so the case note becomes a derived artefact that can be recreated, and ""what happened"" can be served in one hop.",to_location_id,16,uuid,t,,locations-inside-prison UUID for to_location_key at the time of the move. Same durable-identity rule and the same best-effort caveat as from_location_id.,PERSONAL,N,
cell_movement_nomis,TABLE,"Cell move reasons inherited from whereabouts-api CELL_MOVE_REASON: the link as whereabouts held it, plus what this service has resolved from the case note it points at. Kept as a separate table rather than as rows in cell_movement because these rows are a different thing - the source carries three columns where cell_movement has sixteen, and merging them would mean dropping most of cell_movement's not-null constraints. Which table a row is in is therefore the answer to ""is this ours or inherited?"".",booking_id,1,bigint,f,,"NOMIS booking id, copied verbatim from whereabouts. Part of the primary key with bed_assignment_sequence, which is the natural key in the source and makes both the backfill and the read-through idempotent.",PERSONAL,Y,
cell_movement_nomis,TABLE,"Cell move reasons inherited from whereabouts-api CELL_MOVE_REASON: the link as whereabouts held it, plus what this service has resolved from the case note it points at. Kept as a separate table rather than as rows in cell_movement because these rows are a different thing - the source carries three columns where cell_movement has sixteen, and merging them would mean dropping most of cell_movement's not-null constraints. Which table a row is in is therefore the answer to ""is this ours or inherited?"".",bed_assignment_sequence,2,integer,f,,"Position of the move in the booking's bed assignment history, copied verbatim from whereabouts. Part of the primary key.",PERSONAL,Y,
cell_movement_nomis,TABLE,"Cell move reasons inherited from whereabouts-api CELL_MOVE_REASON: the link as whereabouts held it, plus what this service has resolved from the case note it points at. Kept as a separate table rather than as rows in cell_movement because these rows are a different thing - the source carries three columns where cell_movement has sixteen, and merging them would mean dropping most of cell_movement's not-null constraints. Which table a row is in is therefore the answer to ""is this ours or inherited?"".",case_note_legacy_id,3,bigint,f,,"The numeric case note id, as whereabouts recorded it. The explanation of the move lives in that case note and nowhere else: whereabouts never stored the text, which is exactly the weakness cell_movement.comment_text fixes for movements recorded by this service.",NONE,N,
cell_movement_nomis,TABLE,"Cell move reasons inherited from whereabouts-api CELL_MOVE_REASON: the link as whereabouts held it, plus what this service has resolved from the case note it points at. Kept as a separate table rather than as rows in cell_movement because these rows are a different thing - the source carries three columns where cell_movement has sixteen, and merging them would mean dropping most of cell_movement's not-null constraints. Which table a row is in is therefore the answer to ""is this ours or inherited?"".",prisoner_number,4,character varying(7),t,,"NOMIS offender number, resolved from the case note rather than copied - the source table held only a booking id. Null until the row has been enriched.",PERSONAL,N,
cell_movement_nomis,TABLE,"Cell move reasons inherited from whereabouts-api CELL_MOVE_REASON: the link as whereabouts held it, plus what this service has resolved from the case note it points at. Kept as a separate table rather than as rows in cell_movement because these rows are a different thing - the source carries three columns where cell_movement has sixteen, and merging them would mean dropping most of cell_movement's not-null constraints. Which table a row is in is therefore the answer to ""is this ours or inherited?"".",reason_code,5,character varying(12),t,,"Why the prisoner was moved, as a CHG_HOUS_RSN code, surviving only as the case note's subType. Special category for the same reason as cell_movement.reason_code: the vocabulary includes Healthcare, Vulnerable Prisoner and Someone's safety. Null until the row has been enriched.",SPECIAL-CATEGORY,N,
cell_movement_nomis,TABLE,"Cell move reasons inherited from whereabouts-api CELL_MOVE_REASON: the link as whereabouts held it, plus what this service has resolved from the case note it points at. Kept as a separate table rather than as rows in cell_movement because these rows are a different thing - the source carries three columns where cell_movement has sixteen, and merging them would mean dropping most of cell_movement's not-null constraints. Which table a row is in is therefore the answer to ""is this ours or inherited?"".",comment_text,6,text,t,,"The explanation of the move, read from the case note. Same content and the same risks as cell_movement.comment_text - assume violence, self harm and health. Null until the row has been enriched.",SPECIAL-CATEGORY,N,
cell_movement_nomis,TABLE,"Cell move reasons inherited from whereabouts-api CELL_MOVE_REASON: the link as whereabouts held it, plus what this service has resolved from the case note it points at. Kept as a separate table rather than as rows in cell_movement because these rows are a different thing - the source carries three columns where cell_movement has sixteen, and merging them would mean dropping most of cell_movement's not-null constraints. Which table a row is in is therefore the answer to ""is this ours or inherited?"".",case_note_uuid,7,uuid,t,,"The case note's canonical UUID, learned when the note is first read. The legacy id is what whereabouts held; this is what the case notes service prefers to be asked for.",NONE,N,
cell_movement_nomis,TABLE,"Cell move reasons inherited from whereabouts-api CELL_MOVE_REASON: the link as whereabouts held it, plus what this service has resolved from the case note it points at. Kept as a separate table rather than as rows in cell_movement because these rows are a different thing - the source carries three columns where cell_movement has sixteen, and merging them would mean dropping most of cell_movement's not-null constraints. Which table a row is in is therefore the answer to ""is this ours or inherited?"".",occurred_at,8,timestamp without time zone,t,,"When the move happened, taken from the case note's occurrenceDateTime, which whereabouts set to the moment of the move. Null until the row has been enriched.",PERSONAL,N,
cell_movement_nomis,TABLE,"Cell move reasons inherited from whereabouts-api CELL_MOVE_REASON: the link as whereabouts held it, plus what this service has resolved from the case note it points at. Kept as a separate table rather than as rows in cell_movement because these rows are a different thing - the source carries three columns where cell_movement has sixteen, and merging them would mean dropping most of cell_movement's not-null constraints. Which table a row is in is therefore the answer to ""is this ours or inherited?"".",enriched_at,9,timestamp without time zone,t,,"When the enrichment was resolved. Null means it has not been attempted yet, or the last attempt hit a transient failure and should be retried. Set while the note fields are still null means the case note is definitively gone and there is nothing more to fetch.",NONE,N,
